"","text"," ellekingmusic"," taylorswift"," torikelly"," kaceymusgraves"," carrieunderwood"," samhuntmusic"," kanyewest"," sofiavergara"," ladygaga"," meghan_trainor"," adele"," justinbieber"," thegrammys"," kendricklamar"," littlebigtown"," rihanna"," ddlovato"," jkcorden"," andradaymusic"," selenagomez"," brunomars"," beyonce"," mileycyrus"," harry_styles"," samhunt"," theweeknd"," djkhaled"," realalicecooper"," alabama_shakes"," wizkhalifa"," gwenstefani"," muse"," miguel"," angelalessandra"," chrissyteigen"," kaleycuoco"," elliegoulding"," rwitherspoon"," mslaurynhill"," chrisstapleton"," itzsteviewonder"," michaeljackson"," serayahlove"," zendaya"," hamilton"," johnlegend"," pharrel"," samsmith"," arianagrande"," johnnydepp"," llcoolj"," theeagles"," davegrohl"," mattbellamy"," nicklachey"," pharrell"," faithevans"," annakendrick"," janellemonae"," kimkardashian"," ciara"," annawintour"
"31","They're gonna make us wait a long ass time for @Adele!! #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","#Hamilton seems good but not living up to the hype. #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Even when #TaylorSwift loses, she still wins!! #Grammys",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","These @littlebigtown harmonies are giving me such a hard-on!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","I'm hearing rumors @Rihanna cancelled her performance. THAT BETTER NOT BE TRUE!!!!!!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Can we bring #JohnLegend back? Luke is not working. AT ALL! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","DEMETRIA!!!!!!! Showing us range and emotion!!!!!!! Si, mami!!!!! @ddlovato #GRAMMYs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Next year's #Grammys host, @JKCorden!!!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","This is a star-making performance, @AndraDayMusic!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","An outfit change for the show! YASS, diva!!! @selenagomez #GRAMMYs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
