,Unnamed: 0,text, ellekingmusic, taylorswift, torikelly, kaceymusgraves, carrieunderwood, samhuntmusic, kanyewest, sofiavergara, ladygaga, meghan_trainor, adele, justinbieber, thegrammys, kendricklamar, littlebigtown, rihanna, ddlovato, jkcorden, andradaymusic, selenagomez, brunomars, beyonce, mileycyrus, harry_styles, samhunt, theweeknd, djkhaled, realalicecooper, alabama_shakes, wizkhalifa, gwenstefani, muse, miguel, angelalessandra, chrissyteigen, kaleycuoco, elliegoulding, rwitherspoon, mslaurynhill, chrisstapleton, itzsteviewonder, michaeljackson, serayahlove, zendaya, hamilton, johnlegend, pharrel, samsmith, arianagrande, johnnydepp, llcoolj, theeagles, davegrohl, mattbellamy, nicklachey, pharrell, faithevans, annakendrick, janellemonae, kimkardashian, ciara, annawintour,sentiment
54,55,.@theweeknd can do whatever he wants to my body!!! #Grammys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,56, We caught up with @djkhaled and MORE artists at the #Grammys! Watch the EXCLUSIVE clip here: https://t.co/YtjwngMq4K https…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1517
56,57," .@RWitherspoon, @Andy &amp; others send love @taylorswift13's way after her big #Grammys win! https://t.co/bF2X108pqj https://…",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283866666667
57,58, .@MsLaurynHill was supposed to perform at the #Grammys with @theweeknd but didn't! Find out why HERE: https://t.co/K6xIYdr…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,59, .@taylorswift13's #Grammys acceptance speech for album of the year was a big FUCK YOU to @KanyeWest! Watch HERE: https://t…,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122133333333
59,60, .@SofiaVergara had one of the most talked about moments of the #Grammys! Watch HERE: https://t.co/63fOmv9RSh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,61, .@Beyonce!!!!!! #Grammys https://t.co/dBOOTW2ZKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,62, Watch @RealAliceCooper and #JohnnyDepp bring heavy metal to the #Grammys HERE: https://t.co/1SqNt6IcdZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,63, .@Alabama_Shakes is the real deal!! Watch their raw and raucous #Grammys performance HERE: https://t.co/F7LG0BjWqe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,64, Watch @LadyGaGa's flaw free #Grammys performance HERE: https://t.co/tTLxnueofr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5106
64,65," .@ChrisStapleton, @TheBonnieRaitt and @GaryClarkJr rock the #Grammys stage! Watch HERE: https://t.co/7DDof7x6I9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,66, Who would have thought? @wizkhalifa was one of the best dressed at the #Grammys! https://t.co/zw4p2PWzO5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2232
66,67, #LLCoolJ is like vanilla frozen yogurt on the red carpet and as #Grammys host. https://t.co/nJCAUTRGzI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1806
67,68, Proud of @justinbieber! Watch him deliver at the #Grammys HERE: https://t.co/jNeaMHoEIg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26275
68,69," If you want to torture yourself, watch #Adele's sound issue-plagued #Grammys performance HERE: https://t.co/xMsHBpxBRE",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5574
69,70, THE BEST #Grammys performance of the night was @kendricklamar's! Watch it HERE: https://t.co/JoaNPCiM9Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36855
